model,country,language,prompt_no,eval_method,score,iteration
llama-3-8b-instruct,UK,English,inst-1,SEM-B,16.00877192982456,1
llama-3-8b-instruct,UK,English,inst-1,SEM-W,14.396929824561406,1
llama-3-8b-instruct,US,English,inst-1,SEM-B,18.43817787418655,1
llama-3-8b-instruct,US,English,inst-1,SEM-W,15.480838756326824,1
llama-3-8b-instruct,South_Korea,English,inst-1,SEM-B,12.421052631578949,1
llama-3-8b-instruct,South_Korea,English,inst-1,SEM-W,10.670175438596493,1
llama-3-8b-instruct,Algeria,English,inst-1,SEM-B,11.441647597254006,1
llama-3-8b-instruct,Algeria,English,inst-1,SEM-W,9.824561403508774,1
llama-3-8b-instruct,China,English,inst-1,SEM-B,12.658227848101266,1
llama-3-8b-instruct,China,English,inst-1,SEM-W,10.523909985935305,1
llama-3-8b-instruct,Indonesia,English,inst-1,SEM-B,13.125,1
llama-3-8b-instruct,Indonesia,English,inst-1,SEM-W,10.951388888888888,1
llama-3-8b-instruct,Spain,English,inst-1,SEM-B,12.366737739872068,1
llama-3-8b-instruct,Spain,English,inst-1,SEM-W,10.501066098081022,1
llama-3-8b-instruct,Iran,English,inst-1,SEM-B,11.403508771929824,1
llama-3-8b-instruct,Iran,English,inst-1,SEM-W,9.762426900584796,1
llama-3-8b-instruct,Mexico,English,inst-1,SEM-B,11.064718162839249,1
llama-3-8b-instruct,Mexico,English,inst-1,SEM-W,9.509394572025052,1
llama-3-8b-instruct,Assam,English,inst-6,SEM-B,7.127882599580712,1
llama-3-8b-instruct,Assam,English,inst-6,SEM-W,5.754716981132075,1
llama-3-8b-instruct,Greece,English,inst-6,SEM-B,12.608695652173912,1
llama-3-8b-instruct,Greece,English,inst-6,SEM-W,10.34057971014493,1
llama-3-8b-instruct,Ethiopia,English,inst-6,SEM-B,7.415254237288135,1
llama-3-8b-instruct,Ethiopia,English,inst-6,SEM-W,6.578389830508474,1
llama-3-8b-instruct,Northern_Nigeria,English,inst-6,SEM-B,7.252747252747254,1
llama-3-8b-instruct,Northern_Nigeria,English,inst-6,SEM-W,6.161172161172161,1
llama-3-8b-instruct,Azerbaijan,English,inst-4,SEM-B,8.955223880597014,1
llama-3-8b-instruct,Azerbaijan,English,inst-4,SEM-W,7.569296375266525,1
llama-3-8b-instruct,North_Korea,English,inst-6,SEM-B,6.756756756756757,1
llama-3-8b-instruct,North_Korea,English,inst-6,SEM-W,5.852102102102102,1
llama-3-8b-instruct,West_Java,English,inst-6,SEM-B,6.768558951965066,1
llama-3-8b-instruct,West_Java,English,inst-6,SEM-W,5.291120815138281,1
