model,country,language,prompt_no,eval_method,score,iteration
qwen3-14b,UK,English,inst-1,SEM-B,15.789473684210526,1
qwen3-14b,UK,English,inst-1,SEM-W,14.418859649122806,1
qwen3-14b,UK,English,inst-1,SEM-B,17.982456140350877,2
qwen3-14b,UK,English,inst-1,SEM-W,16.18055555555556,2
qwen3-14b,UK,English,inst-1,SEM-B,16.885964912280702,3
qwen3-14b,UK,English,inst-1,SEM-W,15.266812865497078,3
qwen3-14b,UK,English,inst-1,SEM-B,16.666666666666664,4
qwen3-14b,UK,English,inst-1,SEM-W,14.678362573099417,4
qwen3-14b,UK,English,inst-1,SEM-B,17.324561403508774,5
qwen3-14b,UK,English,inst-1,SEM-W,16.264619883040936,5
qwen3-14b,US,English,inst-1,SEM-B,17.787418655097614,1
qwen3-14b,US,English,inst-1,SEM-W,16.449746926970356,1
qwen3-14b,US,English,inst-1,SEM-B,17.35357917570499,2
qwen3-14b,US,English,inst-1,SEM-W,15.86767895878525,2
qwen3-14b,US,English,inst-1,SEM-B,18.22125813449024,3
qwen3-14b,US,English,inst-1,SEM-W,16.594360086767896,3
qwen3-14b,US,English,inst-1,SEM-B,17.570498915401302,4
qwen3-14b,US,English,inst-1,SEM-W,16.10629067245119,4
qwen3-14b,US,English,inst-1,SEM-B,17.570498915401302,5
qwen3-14b,US,English,inst-1,SEM-W,15.54591467823572,5
qwen3-14b,South_Korea,English,inst-1,SEM-B,15.36842105263158,1
qwen3-14b,South_Korea,English,inst-1,SEM-W,13.150877192982458,1
qwen3-14b,South_Korea,English,inst-1,SEM-B,14.315789473684209,2
qwen3-14b,South_Korea,English,inst-1,SEM-W,12.010526315789471,2
qwen3-14b,South_Korea,English,inst-1,SEM-B,14.105263157894738,3
qwen3-14b,South_Korea,English,inst-1,SEM-W,11.856140350877194,3
qwen3-14b,South_Korea,English,inst-1,SEM-B,12.842105263157894,4
qwen3-14b,South_Korea,English,inst-1,SEM-W,11.133333333333333,4
qwen3-14b,South_Korea,English,inst-1,SEM-B,14.315789473684209,5
qwen3-14b,South_Korea,English,inst-1,SEM-W,12.16140350877193,5
qwen3-14b,Algeria,English,inst-1,SEM-B,13.272311212814644,1
qwen3-14b,Algeria,English,inst-1,SEM-W,11.132723112128144,1
qwen3-14b,Algeria,English,inst-1,SEM-B,13.272311212814644,2
qwen3-14b,Algeria,English,inst-1,SEM-W,11.075514874141875,2
qwen3-14b,Algeria,English,inst-1,SEM-B,13.043478260869565,3
qwen3-14b,Algeria,English,inst-1,SEM-W,10.789473684210527,3
qwen3-14b,Algeria,English,inst-1,SEM-B,13.272311212814644,4
qwen3-14b,Algeria,English,inst-1,SEM-W,11.784897025171622,4
qwen3-14b,Algeria,English,inst-1,SEM-B,13.958810068649884,5
qwen3-14b,Algeria,English,inst-1,SEM-W,11.895499618611744,5
qwen3-14b,China,English,inst-1,SEM-B,14.978902953586498,1
