model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,16.666666666666664,1
qwen3-14b,UK,English,SEM-W,14.685672514619885,1
qwen3-14b,US,English,SEM-B,17.35357917570499,1
qwen3-14b,US,English,SEM-W,16.297903109182936,1
qwen3-14b,South_Korea,English,SEM-B,13.473684210526317,1
qwen3-14b,South_Korea,English,SEM-W,11.589473684210526,1
qwen3-14b,Algeria,English,SEM-B,12.585812356979408,1
qwen3-14b,Algeria,English,SEM-W,11.575133485888635,1
qwen3-14b,China,English,SEM-B,15.822784810126585,1
qwen3-14b,China,English,SEM-W,13.667369901547117,1
qwen3-14b,Indonesia,English,SEM-B,14.583333333333334,1
qwen3-14b,Indonesia,English,SEM-W,12.722222222222223,1
qwen3-14b,Spain,English,SEM-B,15.13859275053305,1
qwen3-14b,Spain,English,SEM-W,13.877043354655294,1
qwen3-14b,Iran,English,SEM-B,12.280701754385964,1
qwen3-14b,Iran,English,SEM-W,10.774853801169591,1
qwen3-14b,Mexico,English,SEM-B,12.31732776617954,1
qwen3-14b,Mexico,English,SEM-W,11.670146137787055,1
qwen3-14b,Assam,English,SEM-B,12.368972746331238,1
qwen3-14b,Assam,English,SEM-W,10.61844863731656,1
qwen3-14b,Greece,English,SEM-B,14.347826086956522,1
qwen3-14b,Greece,English,SEM-W,11.9963768115942,1
qwen3-14b,Ethiopia,English,SEM-B,12.71186440677966,1
qwen3-14b,Ethiopia,English,SEM-W,10.755649717514125,1
qwen3-14b,Northern_Nigeria,English,SEM-B,9.670329670329672,1
qwen3-14b,Northern_Nigeria,English,SEM-W,8.805860805860805,1
qwen3-14b,Azerbaijan,English,SEM-B,14.925373134328357,1
qwen3-14b,Azerbaijan,English,SEM-W,13.912579957356078,1
qwen3-14b,North_Korea,English,SEM-B,11.711711711711713,1
qwen3-14b,North_Korea,English,SEM-W,10.022522522522523,1
qwen3-14b,West_Java,English,SEM-B,12.22707423580786,1
qwen3-14b,West_Java,English,SEM-W,10.858806404657932,1
