model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,14.692982456140353,
qwen3-14b,UK,English,SEM-W,13.603801169590646,
qwen3-14b,US,English,SEM-B,13.449023861171366,
qwen3-14b,US,English,SEM-W,12.834417932031815,
qwen3-14b,South_Korea,English,SEM-B,12.210526315789473,
qwen3-14b,South_Korea,English,SEM-W,10.596491228070176,
qwen3-14b,Algeria,English,SEM-B,12.128146453089244,
qwen3-14b,Algeria,English,SEM-W,10.869565217391305,
qwen3-14b,China,English,SEM-B,14.345991561181432,
qwen3-14b,China,English,SEM-W,12.630098452883262,
qwen3-14b,Indonesia,English,SEM-B,12.083333333333334,
qwen3-14b,Indonesia,English,SEM-W,11.027777777777777,
qwen3-14b,Spain,English,SEM-B,11.940298507462686,
qwen3-14b,Spain,English,SEM-W,10.85643212508884,
qwen3-14b,Iran,English,SEM-B,10.087719298245611,
qwen3-14b,Iran,English,SEM-W,8.826754385964913,
qwen3-14b,Mexico,English,SEM-B,10.855949895615868,
qwen3-14b,Mexico,English,SEM-W,10.034794711203896,
qwen3-14b,Assam,English,SEM-B,12.368972746331238,
qwen3-14b,Assam,English,SEM-W,11.174004192872117,
qwen3-14b,Greece,English,SEM-B,11.304347826086955,
qwen3-14b,Greece,English,SEM-W,9.7463768115942,
qwen3-14b,Ethiopia,English,SEM-B,10.38135593220339,
qwen3-14b,Ethiopia,English,SEM-W,9.216101694915254,
qwen3-14b,Northern_Nigeria,English,SEM-B,9.230769230769232,
qwen3-14b,Northern_Nigeria,English,SEM-W,8.35164835164835,
qwen3-14b,Azerbaijan,English,SEM-B,13.646055437100213,
qwen3-14b,Azerbaijan,English,SEM-W,11.97583511016347,
qwen3-14b,North_Korea,English,SEM-B,9.45945945945946,
qwen3-14b,North_Korea,English,SEM-W,8.352102102102101,
qwen3-14b,West_Java,English,SEM-B,9.60698689956332,
qwen3-14b,West_Java,English,SEM-W,8.824599708879184,
