model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,16.447368421052634,1
qwen3-14b,UK,English,SEM-W,14.696637426900583,1
qwen3-14b,US,English,SEM-B,17.35357917570499,1
qwen3-14b,US,English,SEM-W,16.3412870571222,1
qwen3-14b,South_Korea,English,SEM-B,14.315789473684209,1
qwen3-14b,South_Korea,English,SEM-W,12.210526315789473,1
qwen3-14b,Algeria,English,SEM-B,13.501144164759726,1
qwen3-14b,Algeria,English,SEM-W,12.543859649122806,1
qwen3-14b,China,English,SEM-B,16.877637130801688,1
qwen3-14b,China,English,SEM-W,15.18987341772152,1
qwen3-14b,Indonesia,English,SEM-B,15.416666666666668,1
qwen3-14b,Indonesia,English,SEM-W,13.524305555555555,1
qwen3-14b,Spain,English,SEM-B,13.646055437100213,1
qwen3-14b,Spain,English,SEM-W,13.166311300639656,1
qwen3-14b,Iran,English,SEM-B,12.06140350877193,1
qwen3-14b,Iran,English,SEM-W,10.822368421052632,1
qwen3-14b,Mexico,English,SEM-B,13.569937369519833,1
qwen3-14b,Mexico,English,SEM-W,12.87752261656228,1
qwen3-14b,Assam,English,SEM-B,13.20754716981132,1
qwen3-14b,Assam,English,SEM-W,11.484975541579312,1
qwen3-14b,Greece,English,SEM-B,14.130434782608695,1
qwen3-14b,Greece,English,SEM-W,12.068840579710145,1
qwen3-14b,Ethiopia,English,SEM-B,11.440677966101696,1
qwen3-14b,Ethiopia,English,SEM-W,9.837570621468927,1
qwen3-14b,Northern_Nigeria,English,SEM-B,8.571428571428571,1
qwen3-14b,Northern_Nigeria,English,SEM-W,8.131868131868131,1
qwen3-14b,Azerbaijan,English,SEM-B,14.072494669509595,1
qwen3-14b,Azerbaijan,English,SEM-W,12.285003553660273,1
qwen3-14b,North_Korea,English,SEM-B,11.486486486486488,1
qwen3-14b,North_Korea,English,SEM-W,9.699699699699698,1
qwen3-14b,West_Java,English,SEM-B,11.353711790393014,1
qwen3-14b,West_Java,English,SEM-W,10.054585152838428,1
