model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,14.912280701754383,1
qwen3-14b,UK,English,SEM-W,13.563596491228068,1
qwen3-14b,US,English,SEM-B,16.702819956616054,1
qwen3-14b,US,English,SEM-W,15.748373101952277,1
qwen3-14b,South_Korea,English,SEM-B,14.315789473684209,1
qwen3-14b,South_Korea,English,SEM-W,11.666666666666666,1
qwen3-14b,Algeria,English,SEM-B,12.128146453089244,1
qwen3-14b,Algeria,English,SEM-W,10.839054157131962,1
qwen3-14b,China,English,SEM-B,14.767932489451477,1
qwen3-14b,China,English,SEM-W,13.20323488045007,1
qwen3-14b,Indonesia,English,SEM-B,14.374999999999998,1
qwen3-14b,Indonesia,English,SEM-W,12.572916666666664,1
qwen3-14b,Spain,English,SEM-B,14.072494669509595,1
qwen3-14b,Spain,English,SEM-W,12.835820895522389,1
qwen3-14b,Iran,English,SEM-B,12.5,1
qwen3-14b,Iran,English,SEM-W,11.078216374269005,1
qwen3-14b,Mexico,English,SEM-B,13.987473903966595,1
qwen3-14b,Mexico,English,SEM-W,12.54001391788448,1
qwen3-14b,Assam,English,SEM-B,12.997903563941298,1
qwen3-14b,Assam,English,SEM-W,11.558350803633823,1
qwen3-14b,Greece,English,SEM-B,14.347826086956522,1
qwen3-14b,Greece,English,SEM-W,12.05072463768116,1
qwen3-14b,Ethiopia,English,SEM-B,10.16949152542373,1
qwen3-14b,Ethiopia,English,SEM-W,8.46045197740113,1
qwen3-14b,Northern_Nigeria,English,SEM-B,10.329670329670328,1
qwen3-14b,Northern_Nigeria,English,SEM-W,9.487179487179487,1
qwen3-14b,Azerbaijan,English,SEM-B,14.285714285714285,1
qwen3-14b,Azerbaijan,English,SEM-W,12.51954513148543,1
qwen3-14b,North_Korea,English,SEM-B,11.711711711711713,1
qwen3-14b,North_Korea,English,SEM-W,9.943693693693692,1
qwen3-14b,West_Java,English,SEM-B,12.008733624454148,1
qwen3-14b,West_Java,English,SEM-W,10.676855895196509,1
