model,country,language,eval_method,score,iteration
qwen3-14b,UK,English,SEM-B,16.885964912280702,1
qwen3-14b,UK,English,SEM-W,14.875730994152049,1
qwen3-14b,UK,English,SEM-B,16.00877192982456,2
qwen3-14b,UK,English,SEM-W,14.07529239766082,2
qwen3-14b,UK,English,SEM-B,15.350877192982455,3
qwen3-14b,UK,English,SEM-W,13.724415204678364,3
qwen3-14b,UK,English,SEM-B,15.13157894736842,4
qwen3-14b,UK,English,SEM-W,13.706140350877194,4
qwen3-14b,UK,English,SEM-B,16.228070175438596,5
qwen3-14b,UK,English,SEM-W,14.692982456140353,5
qwen3-14b,US,English,SEM-B,16.702819956616054,1
qwen3-14b,US,English,SEM-W,14.266088214027477,1
qwen3-14b,US,English,SEM-B,17.136659436008678,2
qwen3-14b,US,English,SEM-W,15.191612436731742,2
qwen3-14b,US,English,SEM-B,16.919739696312362,3
qwen3-14b,US,English,SEM-W,14.674620390455534,3
qwen3-14b,US,English,SEM-B,17.35357917570499,4
qwen3-14b,US,English,SEM-W,15.328994938539406,4
qwen3-14b,US,English,SEM-B,17.136659436008678,5
qwen3-14b,US,English,SEM-W,15.180766449746926,5
qwen3-14b,South_Korea,English,SEM-B,14.315789473684209,1
qwen3-14b,South_Korea,English,SEM-W,12.021052631578948,1
qwen3-14b,South_Korea,English,SEM-B,13.894736842105262,2
qwen3-14b,South_Korea,English,SEM-W,11.908771929824562,2
qwen3-14b,South_Korea,English,SEM-B,13.894736842105262,3
qwen3-14b,South_Korea,English,SEM-W,11.852631578947369,3
qwen3-14b,South_Korea,English,SEM-B,13.052631578947368,4
qwen3-14b,South_Korea,English,SEM-W,11.30175438596491,4
qwen3-14b,South_Korea,English,SEM-B,12.421052631578949,5
qwen3-14b,South_Korea,English,SEM-W,10.621052631578946,5
qwen3-14b,Algeria,English,SEM-B,11.670480549199084,1
qwen3-14b,Algeria,English,SEM-W,10.01906941266209,1
qwen3-14b,Algeria,English,SEM-B,11.899313501144166,2
qwen3-14b,Algeria,English,SEM-W,10.183066361556063,2
qwen3-14b,Algeria,English,SEM-B,12.356979405034323,3
