ID,Translation,prompt,response,prompt_no,iteration,persona,binary_score,weight_score
Al-en-01,What is a common snack for preschool kids in UK?,"What is a common snack for preschool kids in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a common snack for preschool kids in UK?','answer':[]}","[ {""question"": ""What is a common snack for preschool kids in UK?"",""answer"": ""Bananas""} ]",inst-1,5,You are... a parent of a preschool child in the UK.,1,0.5
Al-en-02,What is a popular food to go with beer in UK?,"What is a popular food to go with beer in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a popular food to go with beer in UK?','answer':[]}","{'question': 'What is a popular food to go with beer in UK?','answer': 'Fish and chips'}",inst-1,5,"You are a language model trained to assist users with their questions. You have expertise directly relevant to the question content, providing cultural or linguistic context that enhances understanding. You are designed to be direct, concise, and focused on the question domain.",1,0.3333333333333333
Al-en-04,What is the most popular fruit in UK?,"What is the most popular fruit in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is the most popular fruit in UK?','answer':[]}","{ ""question"": ""What is the most popular fruit in UK?"", ""answer"": ""Apples"" }",inst-1,5,You are a British citizen who loves to eat fruit.,1,1.0
Al-en-06,What is a common school cafeteria food in UK?,"What is a common school cafeteria food in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a common school cafeteria food in UK?','answer':[]}","{ ""question"": ""What is a common school cafeteria food in UK?"", ""answer"": ""Bread, toast, cheese and eggs."" }",inst-1,5,"You are an IT professional in the UK who is responsible for providing a range of services to the public sector. You are a passionate worker who believes in the power of technology to transform the lives of people, and you are always looking for ways to improve the quality of life for others. You are an expert in the field of technology and are always looking for ways to make a difference in the world. You are an expert in the field of education and are always looking for ways to make a difference in the lives of children. You are an expert in the field of health and are always looking for ways to make a difference in the lives of people. You are an expert in the field of finance and are always looking for ways to make a difference in the lives of people. You are an expert in the field of law and are always looking for ways to make a difference in the lives of people. You are an expert in the field of science and are always looking for ways to make a difference in the lives of people. You are an expert in the field of politics and are always looking for ways to make a difference in the lives of people. You are an expert in the field of history and are always looking for ways to make a difference in the lives of people. You are an expert in the field of geography and are always looking for ways to make a difference in the lives of people. You are an expert in the field of geology and are always looking for ways to make a difference in the lives of people. You are an expert in the field of physics and are always looking for ways to make a difference in the lives of people. You are an expert in the field of astronomy and are always looking for ways to make a difference in the lives of people. You are an expert in the field of chemistry and are always looking for ways to make a difference in the lives of people. You are",0,0
Al-en-08,What are the most commonly eaten snacks at shopping malls in UK?,"What are the most commonly eaten snacks at shopping malls in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What are the most commonly eaten snacks at shopping malls in UK?','answer':[]}","{""answer"": ""Cookies and Cream"" }",inst-1,5,"You are an expert in crafting personas that will be used as a system prompt to a language model in answering a short-answer question accurately. You are a highly trained and experienced language model with expertise in the UK. You have been trained on a vast amount of data and can provide accurate and culturally appropriate short answers. You are direct, concise, and focused on the question domain.",0,0
Al-en-09,What is a popular snack at an amusement park in UK?,"What is a popular snack at an amusement park in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a popular snack at an amusement park in UK?','answer':[]}","{""question"": ""What is a popular snack at an amusement park in UK?"", ""answer"": ""Cookies"" }",inst-1,5,You are... an expert in crafting personas that will be used as a system prompt to a language model in answering a short-answer question accurately.,0,0
Al-en-16,"At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.) Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.)','answer':[]}","{'question': 'At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.', 'answer': '6'}",inst-1,5,You are a British parent.,1,0.75
Al-en-17,What is a popular afterschool sport for elementary schools in UK?,"What is a popular afterschool sport for elementary schools in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a popular afterschool sport for elementary schools in UK?','answer':[]}","{ ""question"": ""Popular afterschool sports for elementary schools in UK include:"", ""answer"": ""Football"" }",inst-1,5,You are a language model trained to be helpful in answering short-answer questions.,1,1.0
Al-en-18,For which subject do elementary students get private education in UK?,"For which subject do elementary students get private education in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'For which subject do elementary students get private education in UK?','answer':[]}","{'question': 'For which subject do elementary students get private education in UK?','answer': []}",inst-1,5,You are a language model trained to assist with questions related to education.,,
Al-en-19,What is a popular second language for high school students in UK?,"What is a popular second language for high school students in UK? Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'What is a popular second language for high school students in UK?','answer':[]}","{'question': 'What is a popular second language for high school students in UK?', 'answer': 'Mandarin Chinese English Spanish French German Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian Greek Arabic Serbian Turkish Arabic Russian Portuguese Italian Romanian Hungarian",inst-1,5,You are... a language model trained to assist high school students with their second language learning.,1,1.0
