model,country,iteration,question_id,correct,model_response,ground_truth
llama-3-8b-instruct,UK,1,Al-en-01,1,finger sandwiches,fruit; apple; breadsticks; banana; cheese; toast
llama-3-8b-instruct,UK,1,Al-en-04,1,bananas,apple; apples; banana
llama-3-8b-instruct,UK,1,Al-en-19,1,spanish,french; spanish; german
llama-3-8b-instruct,UK,1,Al-en-36,0,treacle tart,pumpkin; pumpkins; sweets; chocolate
llama-3-8b-instruct,UK,1,Al-en-39,1,cake,cake; birthday cake
llama-3-8b-instruct,UK,1,An-ar-03,1,5,5; 6
llama-3-8b-instruct,UK,1,Ca-sp-06,1,breakfast,breakfast; dinner; evening meal; supper; lunch
llama-3-8b-instruct,UK,1,Ca-sp-11,1,sunday,sunday; saturday; friday
llama-3-8b-instruct,UK,1,Ca-sp-41,1,"care homes, sheltered housing, and with family/friends.",care homes; retirement homes; sheltered accomodation; with relatives; with family
llama-3-8b-instruct,UK,1,Gu-ch-08,1,soccer,soccer; football; rugby; egg and spoon; netball; cricket
llama-3-8b-instruct,UK,1,Gu-ch-38,1,3,3
llama-3-8b-instruct,UK,1,Ji-ko-24,1,playground,park; soft play; playground; indoor play gym
llama-3-8b-instruct,UK,1,Ji-ko-25,1,"christmas day (december 25)
boxing day (december 26)
easter monday
mother's day (third sunday in march)
father's day (third sunday in june)
bank holiday mondays (easter monday, may day, spring bank holiday, and august bank holiday)",christmas; easter; new year; caravan holidays; mother's day; father's day
llama-3-8b-instruct,UK,1,Ji-ko-26,1,"• leaving home (average age: 23-25 years old)
• receiving own bank account (average age: 16-17 years old)
• getting own mobile phone (average age: 12-13 years old)
• taking responsibility for own laundry (average age: 11-12 years old)
• making own breakfast (average age: 10-11 years old)",driving test at 17; passing driving test; driving; going to university; leaving school for university; leaving home; school; job; becoming an adult
llama-3-8b-instruct,UK,1,Ji-ko-28,0,28 days,first birthday; birthday; christening; Baptism
llama-3-8b-instruct,UK,1,Ji-ko-29,1,18,1; 18; 21
llama-3-8b-instruct,UK,1,Ji-ko-33,0,homework.,canteen; back to school; home; form time
llama-3-8b-instruct,UK,1,Ji-ko-34,1,"by bus, on foot, or by car.",walk; car; bus
llama-3-8b-instruct,UK,1,Ji-ko-35,1,independent schools,"boarding school; private school, public school, independent school; boarding schools"
llama-3-8b-instruct,UK,1,Ji-ko-36,0,independent school,"english; maths; math, mathematics; science"
llama-3-8b-instruct,UK,1,Ji-ko-37,1,"casual wear, such as jeans and t-shirts.",uniform; blazer; tie; jacket; trousers; skirt; shirt; black trousers
llama-3-8b-instruct,UK,1,Ji-ko-40,1,"play games, socialize, grab a snack, or hang out in the courtyard.","eat lunch; work part-time; go outside; talk with friends from different classes.; talk, chat, socialise"
llama-3-8b-instruct,UK,1,Ji-ko-42,1,a levels,english; maths; mathematics; math; critical thinking; science
llama-3-8b-instruct,UK,1,Ji-ko-45,1,live music and djs,alcohol; drinking; pub crawl; music; find a hook up; sexual encounter; drugs; beer
llama-3-8b-instruct,UK,1,Jo-sp-13,1,sailing,swimming; rowing; sailing
llama-3-8b-instruct,UK,1,Jo-sp-19,0,east anglia,yorkshire; oxfordshire; wales; west country; sussex; gloucestershire; scotland; south west
llama-3-8b-instruct,UK,1,Jod-ch-01,1,"fork, knife, spoon",knife; fork; fork ; spoon
llama-3-8b-instruct,UK,1,Jod-ch-07,1,2.5,2; 1.5; 1; 2.5
llama-3-8b-instruct,UK,1,Jod-ch-60,1,7,8; 12; 7
llama-3-8b-instruct,UK,1,Ki-pe-34,1,tea,coffee; tea; juice; fruit juice
llama-3-8b-instruct,UK,1,Kik-in-16,1,hot chocolate,tea; hot chocolate; coffee; bovril
llama-3-8b-instruct,UK,1,Kik-in-37,1,manchester united vs liverpool,celtic vs rangers; liverpool vs everton; tottenham vs arsenal; spurs vs arsenal; newcastle vs sunderland; man utd vs man city; liverpool vs manchester united
llama-3-8b-instruct,UK,1,Na-ko-20,1,cricket,soccer; football; cricket; swimming; World Club; FIFA Club World Club; FIFA; world cup football
llama-3-8b-instruct,UK,1,Na-ko-29,0,adam peaty,duncan goodhew; sharron davies; Tom Daley
llama-3-8b-instruct,UK,1,Na-ko-39,1,a gift,gift from the wedding list; gifts; wedding gift; a hand shake; handshake; throwing confetti; a round of applause; kiss on the cheek; big hug; money; cards; homeware
llama-3-8b-instruct,UK,1,Ne-ar-09,0,"pakora, samosas, kebabs, biryani, and other south asian dishes.",rice
llama-3-8b-instruct,UK,1,Ne-ar-26,1,hsbc,bbc; hsbc
llama-3-8b-instruct,UK,1,Ne-ar-36,1,"turkey with roast vegetables and stuffing, followed by christmas pudding with brandy butter.",turkey and the trimmings; christmas dinner; roast meat; roast beef; turkey; roast chicken; roast lamb; burn supper
llama-3-8b-instruct,UK,1,Ne-ar-38,0,tea,"tinned food; tins; tinned foods, canned foods, tinned food, cans, tins, tinned goods, canned goods; canned goods; canned food"
llama-3-8b-instruct,UK,1,New-as-20,1,squash,swimming; netball; badminton; crossfit; gymnastics; tennis
llama-3-8b-instruct,UK,1,New-ch-07,0,"whiskey: scotch, irish, or blended whiskey
vodka: tonic water, orange juice, or cranberry juice
gin: tonic water, slimline tonic, or grapefruit juice
rum: cola, lemonade, or fruit juice (e.g., pineapple)
cognac: tonic water, soda water, or coffee
brandy: tonic water, soda water, or fruit juice (e.g., orange)
tequila: lime and soda water, or orange juice",chips; chinese; kebab; crisps; cheese; pork scratchings; curry; nuts
llama-3-8b-instruct,UK,1,New-ch-16,0,green street,bend it like beckham; ferrari; chariots of fire; The Brothers Grimsby
llama-3-8b-instruct,UK,1,New-ch-32,1,microsoft office,microsoft office; google workspace ; word; excel; outlook; oracle
llama-3-8b-instruct,UK,1,New-ch-38,1,"london, manchester, birmingham, felixstowe, southampton, teesport, grimsby, hull, liverpool, bristol, plymouth, and the east and west midlands.",london; scotland; wales; kent; portsmouth; liverpool; bristol; dover; north east
llama-3-8b-instruct,UK,1,New-ch-44,0,3 months,6 weeks; six weeks; 4 weeks; four weeks; 2 months; two months; 2 weeks; two weeks
llama-3-8b-instruct,UK,1,New-ch-73,1,societies,sports; sport clubs; golf; nightclubs; technology clubs; music clubs
llama-3-8b-instruct,UK,1,New-en-05,1,pasta,beans on toast; cheese sandwich; pasta; pizza; chips; sandwich; ready meal from the supermarket; ready meal
llama-3-8b-instruct,UK,1,New-en-19,1,wembley stadium,wembley; wembley stadium; white hart lane; Wimbledon stadium; wimbledon
llama-3-8b-instruct,UK,1,New-en-41,1,richard branson,Alan Sugar; alan sugar; richard branson; levi roots
llama-3-8b-instruct,UK,1,New-en-47,1,"flowers, trees, and grass.",lawn; grass; shed; trees; flowers; wooden fences; brick walls
llama-3-8b-instruct,UK,1,New-en-56,1,polish,hindi; urdu; polish; french; spanish; pakistani
llama-3-8b-instruct,UK,1,New-en-68,1,"detention, exclusion, suspension, and parental notification.",detention; expulsion; exclusion; being expelled from school; extra work; school inform parents
llama-3-8b-instruct,UK,1,New-en-69,1,"shakespeare, austen, dickens, bronte sisters, woolf, orwell, and eliot.",william shakespeare; Shakespeare ; charles dickens; dickens; Geoffrey Chaucer; chaucer; john steinbeck; steinbeck; twain; mark twain
llama-3-8b-instruct,UK,1,New-gr-06,1,pizza,fast food; burgers; fried chicken; chips and gravy; chips; McDonald's; McDonalds; mcdonald's
llama-3-8b-instruct,UK,1,New-gr-08,1,beer,beer; wine; lager
llama-3-8b-instruct,UK,1,New-gr-15,1,trifle,trifle; pudding; jelly; cake and custard; rice pudding; treacle sponge; Treacle sponge pudding; bread and butter pudding; crumble; brownie
llama-3-8b-instruct,UK,1,New-gr-58,1,nursing,care workers; carers; nurses; nursing; cleaner; teachers
llama-3-8b-instruct,UK,1,New-ha-08,1,brussels sprouts,vegetables; brussels sprouts; brussels sprout; broccoli; olives
llama-3-8b-instruct,UK,1,New-in-01,1,costa coffee,costa; costa coffee; starbucks
llama-3-8b-instruct,UK,1,New-in-62,1,university of cambridge,"University of Cambridge; university of cambridge,; cambridge; cambridge university,; university of cambridge; brunel university; university of south wales"
llama-3-8b-instruct,UK,1,New-ko-02,1,antenatal classes,antenatal classes; prenatal classes at the midwifery clinic; lamaze; breathing classes
llama-3-8b-instruct,UK,1,New-ko-03,0,"""wheeeeee, wheels on the bus""",twinkle twinkle little star; row row row your boat; incy wincy spider; happy birthday; wheels on the bus; baby shark
llama-3-8b-instruct,UK,1,New-pe-06,1,beef and guinness stew,beef; vegetable; fish; steak and ale; casserole
llama-3-8b-instruct,UK,1,New-pe-20,1,beach volleyball,volleyball; surfing; bodyboarding; swimming; frisbee; badminton; racketball
llama-3-8b-instruct,UK,1,New-pe-49,1,churches.,church; mosque; temple
llama-3-8b-instruct,UK,1,New-pe-65,0,32,7; 15; 6; 8
llama-3-8b-instruct,UK,1,New-pe-76,1,picnicking,walk; run; picnic; bbq; sports; people-watching ; crowd watching
llama-3-8b-instruct,UK,1,New-pe-86,0,big ben,tower of london; bt tower; shard; the blackpool tower
llama-3-8b-instruct,UK,1,New-spme-05,1,"cadbury dairy milk, galaxy, kit kat, quality street, and maltesers.","haribo; mars bar; maltesers; fruit pastiles; cadbury chocolate; Cadbury, Cadburys, Cadbury's"
llama-3-8b-instruct,UK,1,New-su-24,1,"cricket, football, tennis, swimming",soccer; football; rounders
llama-3-8b-instruct,UK,1,New-su-33,1,business casual.,casual; smart casual; business attire
llama-3-8b-instruct,UK,1,New-su-34,1,choir,guitar; guitar lessons; playing in a band; music production; recorder; choir; piano; clarinet; violin
llama-3-8b-instruct,UK,1,New-su-42,1,christianity,christianity; islam; catholicism 
llama-3-8b-instruct,UK,1,New-su-57,1,cattle,cows; cattle; sheep; pigs; poultry
llama-3-8b-instruct,UK,1,New-su-58,1,"cattle, pigs, sheep, chickens, turkeys, and ducks.",sheep; cows; pigs; chickens; chicken; cattle
llama-3-8b-instruct,UK,1,Ni-en-12,1,university of oxford,University of Oxford; University of Cambridge; Durham University
llama-3-8b-instruct,UK,1,Ni-en-31,1,"turkey with roast vegetables and gravy, followed by christmas pudding.","Turkey roast dinner, Roast Turkey; turkey roast dinner; turkey roast; turkey; stuffing; yorkshire puddings"
llama-3-8b-instruct,UK,1,Ni-en-40,1,"""white christmas""",silent night; white christmas; jingle bells; merry christmas everybody; Last Christmas by Wham!
llama-3-8b-instruct,UK,1,Sa-en-22,1,oxford university,oxford; cambridge; durham; st andrews; loughborough
llama-3-8b-instruct,UK,1,Sa-en-31,1,dog,dog; cat
llama-3-8b-instruct,UK,1,Sa-en-7,1,"crisps, chocolate, biscuits, scones, and sandwiches.",crisps; chocolate; biscuits; yoghurt; fruit
llama-3-8b-instruct,UK,1,Ta-pe-21,1,school playgrounds or local parks.,the park; local parks; park
llama-3-8b-instruct,UK,1,Ta-pe-29,1,premier league football,soccer; football; boxing
llama-3-8b-instruct,UK,1,Th-en-03,1,premier league,premier league; english premier league; premiership; EFL Championship; the championship
llama-3-8b-instruct,UK,1,Th-en-11,1,david beckham,ian wright; Gary Lineker; erling haaland; harry kane; david beckham
llama-3-8b-instruct,UK,1,Th-en-15,1,skiing,rugby; skiing; soccer; football; snowboarding
llama-3-8b-instruct,UK,1,Th-en-35,0,sunday lunch,dinner; tea; breakfast
llama-3-8b-instruct,UK,1,Th-en-37,1,18,18; 16; 21
llama-3-8b-instruct,UK,1,Th-en-44,1,roast dinner,Sunday roast; roast dinner; Roast dinner; sunday roast; fish & chips; fish and chips
llama-3-8b-instruct,UK,1,Th-en-45,1,watching tv together,watching tv; tv; walk
llama-3-8b-instruct,UK,1,Th-en-51,1,english,english; maths; mathematics; math; science
llama-3-8b-instruct,UK,1,Th-en-53,1,school disco,disco; soccer; football; netball; cricket; fundraiser; fete; sports; sports day
llama-3-8b-instruct,US,1,Al-en-01,1,goldfish crackers,fruit; sandwiches; vegetables; PB&J; peanut butter and jelly; pretzels; Fruit Rollup; fruit by the foot; Goldfish crackers; Cheez-Its; cheddar puffs; cheese puffs; animal crackers
llama-3-8b-instruct,US,1,Al-en-04,1,apple,apple; pear; peach; strawberries; strawberry; orange; banana
llama-3-8b-instruct,US,1,Al-en-19,1,spanish,spanish; french; german
llama-3-8b-instruct,US,1,Al-en-32,1,turkey,turkey; ham
llama-3-8b-instruct,US,1,Al-en-36,1,candy,candies; sweets; candy; chocolate; pumpkins; jack o'lanterns; caramel apples
llama-3-8b-instruct,US,1,Al-en-39,1,cake,cake; pizza
llama-3-8b-instruct,US,1,An-ar-03,1,5,May; 5; June; 6; December; 12
llama-3-8b-instruct,US,1,Ca-sp-06,1,breakfast,breakfast; dinner
llama-3-8b-instruct,US,1,Ca-sp-11,1,sunday,sunday
llama-3-8b-instruct,US,1,Ca-sp-41,1,with family or in assisted living facilities.,assisted living; old folks home; nursing home; senior citizen homes; care center; family; family home; at-home; at home
llama-3-8b-instruct,US,1,Gu-ch-08,1,soccer,soccer; baseball; basketball; American Football; football; wrestling
llama-3-8b-instruct,US,1,Gu-ch-38,0,4,4; 3
llama-3-8b-instruct,US,1,Ji-ko-14,1,aircraft,corn; raw materials; meat; weapons
llama-3-8b-instruct,US,1,Ji-ko-24,1,swimming pools,park playground; playground; park; Disneyland; Disney World; soccer (field); International Football; pool; Swimming Pool; YMCA
llama-3-8b-instruct,US,1,Ji-ko-25,1,"new year's day, valentine's day, mother's day, father's day, grandparents' day, independence day, labor day, halloween, thanksgiving, christmas.",Thanksgiving; Independence Day; Xmas; athletics; Memorial Day; Mother's Day; Father's Day
llama-3-8b-instruct,US,1,Ji-ko-26,1,"1. age 12-13: start of early adolescence, increased autonomy
2. age 14-15: increased independence, more responsibility
3. age 16-17: driver's license, part-time job, more freedom
4. age 18: legal adulthood, college, or full-time job
5. age 21: full independence, voting rights, and financial responsibility",driver's license; high school graduation; graduating high school; first job; starting university; first day of school; getting a car; getting a smartphone; 18; 16; 21
llama-3-8b-instruct,US,1,Ji-ko-29,0,16,21st; 21; 16; 16th; 18; 18th; 15th; 15; 1; 1st; 13th; 13; 30th
llama-3-8b-instruct,US,1,Ji-ko-33,1,homework,friend's house; bedroom; their room; shopping; homework; hw
llama-3-8b-instruct,US,1,Ji-ko-34,1,"elementary school students in the us typically go to school by walking, biking, being driven by parents, or taking a bus.",the bus; school bus; on a bus; bus; on foot; walking; walk; dropped off by car; parents drop off; car
llama-3-8b-instruct,US,1,Ji-ko-35,1,parochial schools,Catholic school; college; university; individual lessons; high school; HS
llama-3-8b-instruct,US,1,Ji-ko-36,0,math and science academy,math; english; history
llama-3-8b-instruct,US,1,Ji-ko-37,1,"casual wear, such as jeans, t-shirts, and hoodies.",baggy jeans; jeans; t-shirts; hoodies; casual; fast fashion brands; trendy; crop tops
llama-3-8b-instruct,US,1,Ji-ko-40,1,"socialize, eat, play games, text, listen to music, or do homework.",eat lunch; check facebook; play on phones; chat; talk; gossip; talk about others; read; vacation; go on a trip
llama-3-8b-instruct,US,1,Ji-ko-42,1,"the required subjects in the us's university entrance exam (sat) are:

* reading
* writing and language
* math (with a calculator)
* math (without a calculator)",math; english; writing; sat; scholastic assessment test; act; American College Testing; science; reading
llama-3-8b-instruct,US,1,Jo-sp-13,0,surfing,swimming; kayaking
llama-3-8b-instruct,US,1,Jo-sp-19,1,midwest,midwest; southern United States; south; Pacific
llama-3-8b-instruct,US,1,Jod-ch-01,1,"fork, knife, spoon, and occasionally chopsticks.",fork; spoon; knife
llama-3-8b-instruct,US,1,Jod-ch-07,1,2.2,1; 1.5; 1.7; 2
llama-3-8b-instruct,US,1,Jod-ch-60,1,8,8; 9; 10
llama-3-8b-instruct,US,1,Ki-pe-34,1,coffee,coffee; orange juice; oj; milk; juice
llama-3-8b-instruct,US,1,Kik-in-16,1,hot chocolate.,hot coffee; coffee; hot chocolate; cocoa; tea; water
llama-3-8b-instruct,US,1,Na-ko-19,1,karch kiraly,kerri walsh jennings; charles kiraly; alix klineman; kerri walsh
llama-3-8b-instruct,US,1,Na-ko-20,1,olympics,soccer; International Football; baseball; basketball; olympics
llama-3-8b-instruct,US,1,Na-ko-29,1,michael phelps,Micahel Phelps; Michael Phelps; michael phelps; katie ledecky; esther williams
llama-3-8b-instruct,US,1,Na-ko-33,0,dumplings,black eyed peas; grapes
llama-3-8b-instruct,US,1,Na-ko-39,1,gift,gift; a gift from a wedding registry; gift from registry; card; money
llama-3-8b-instruct,US,1,Ne-ar-26,1,apple inc.,microsoft; google; McDonald's; nike; amazon; apple; target; ge; General Electric
llama-3-8b-instruct,US,1,Ne-ar-36,1,"turkey with stuffing, mashed potatoes, cranberry sauce, and pumpkin pie.",turkey; mashed potatoes; gravy; steak or fancy meat; xmas dinner; christmas dinner; stuffing; sweet potatoes; green bean casserole; cranberry sauce; and pumpkin pie
llama-3-8b-instruct,US,1,Ne-ar-38,1,canned goods.,canned soup; soup; canned foods; canned goods
llama-3-8b-instruct,US,1,New-as-20,1,basketball,basketball; hockey
llama-3-8b-instruct,US,1,New-ch-07,0,"beer, cola, orange juice, grenadine, and mixers like triple sec, vodka, and rum.",burger; burgers; hamburgers; cheeseburger; pretzels; pizza; tacos; tater tots; negroni aged cheese; fries
llama-3-8b-instruct,US,1,New-ch-16,1,rocky (1976),rocky; sandlot
llama-3-8b-instruct,US,1,New-ch-32,1,microsoft office,microsoft word; microsoft office; excel; microsoft suite
llama-3-8b-instruct,US,1,New-ch-38,1,"1. los angeles
2. new york/newark
3. chicago
4. houston
5. miami
6. seattle
7. san francisco
8. dallas
9. atlanta
10. long beach",new york city; new york; NYC; los angeles; LA; florida; FL; TX; texas; california; CA; coastal areas; BAL; baltimore; SEA; seattle; boston; BOS
llama-3-8b-instruct,US,1,New-ch-44,1,30 days,3 months; 1 month; 6 months
llama-3-8b-instruct,US,1,New-ch-73,1,fraternity and sorority clubs.,debate; mathematics; math; outdoor activities; college bars; fraternity; sorority
llama-3-8b-instruct,US,1,New-en-05,1,pizza,hotdogs; hot dog; hamburgers; Burgers; chicken; sandwich; fast food; spaghetti; bologna sandwich
llama-3-8b-instruct,US,1,New-en-19,1,wrigley field,Yankees stadium; MSG; madison square garden; NY; new york; Mercedes-Benz Stadium; wrigley field
llama-3-8b-instruct,US,1,New-en-41,1,jeff bezos,bill gates; jeff bezos; jeffrey bezos; steve jobs; mark cuban
llama-3-8b-instruct,US,1,New-en-47,1,"lawns, trees, flowers, and patio furniture.",grass; trees; gravel; chairs; trampoline; shed; pool; swing sets; fruits; vegetables; flowers
llama-3-8b-instruct,US,1,New-en-56,1,spanish,spanish; mandarin; german
llama-3-8b-instruct,US,1,New-en-68,1,"in-school suspension, detention, expulsion, suspension, saturday school, community service, parental involvement, and juvenile court.",detention; suspension; expulsion; corporal punishment; iss
llama-3-8b-instruct,US,1,New-en-69,1,"hemingway, fitzgerald, austen, bronte, dickens, shakespeare, twain, whitman, thoreau, poe, melville, hawthorne, woolf, eliot, faulkner, steinbeck, hemingway.",edgar allen poe; edgar allan poe; shakespear; shakespeare; mark twain; Charles Dickens; jd salinger
llama-3-8b-instruct,US,1,New-gr-06,1,pizza,pizza; burgers; hamburgers; salads; ramen noodles; ramen; french fries; wings; chicken wings
llama-3-8b-instruct,US,1,New-gr-08,1,beer,beer; malt beverages; mixed drinks; shots
llama-3-8b-instruct,US,1,New-gr-15,1,apple pie,pumpkin pie; pie; cherry pie; ice cream; apple pie
llama-3-8b-instruct,US,1,New-gr-58,1,teachers,teachers; teaching; restaurant work; civil servents; manufacturing workers; PHDs; Doctor of Philosophy; fast food; internships; federal employment
llama-3-8b-instruct,US,1,New-ha-08,1,brussels sprouts,vegetables; coffee; soup; asparagus; fish; sushi; oats; healthy cereals
llama-3-8b-instruct,US,1,New-in-01,1,starbucks,starbucks; Dunkin' Donuts; Dunkin'; coffee bean; tea leaf; blue bottle; dutch bros
llama-3-8b-instruct,US,1,New-in-62,1,massachusetts institute of technology (mit),mit; massachusetts institute of technology (mit); massachusetts institute of technology; caltech; California Institute of Technology; texas a&m; stanford university
llama-3-8b-instruct,US,1,New-ko-02,1,childbirth education classes,lamaze; childbirth education classes; headphones on the belly bump
llama-3-8b-instruct,US,1,New-ko-03,1,"""twinkle, twinkle, little star""",Twinkle Twinkle Little Star; wheels on the bus; itsy bitsy spider; london bridges; happy birthday
llama-3-8b-instruct,US,1,New-pe-06,1,chili,beef; beef stew; chili; gumbo (cajun style); gumbo; chicken stew
