model,country,iteration,question_id,correct,model_response,ground_truth
llama-3-8b-instruct,UK,1,Al-en-01,0,crumpets,fruit; apple; breadsticks; banana; cheese; toast
llama-3-8b-instruct,UK,1,Al-en-04,0,strawberries,apple; apples; banana
llama-3-8b-instruct,UK,1,Al-en-19,1,french,french; spanish; german
llama-3-8b-instruct,UK,1,Al-en-36,1,sweets,pumpkin; pumpkins; sweets; chocolate
llama-3-8b-instruct,UK,1,Al-en-39,1,cake,cake; birthday cake
llama-3-8b-instruct,UK,1,An-ar-03,1,5,5; 6
llama-3-8b-instruct,UK,1,Ca-sp-06,1,breakfast,breakfast; dinner; evening meal; supper; lunch
llama-3-8b-instruct,UK,1,Ca-sp-11,1,sunday,sunday; saturday; friday
llama-3-8b-instruct,UK,1,Ca-sp-41,1,care homes or sheltered housing.,care homes; retirement homes; sheltered accomodation; with relatives; with family
llama-3-8b-instruct,UK,1,Gu-ch-08,1,soccer,soccer; football; rugby; egg and spoon; netball; cricket
llama-3-8b-instruct,UK,1,Gu-ch-38,1,3,3
llama-3-8b-instruct,UK,1,Ji-ko-24,1,park or playground,park; soft play; playground; indoor play gym
llama-3-8b-instruct,UK,1,Ji-ko-25,1,"christmas, easter, bank holidays, mother's day, father's day, valentine's day, mothering sunday.",christmas; easter; new year; caravan holidays; mother's day; father's day
llama-3-8b-instruct,UK,1,Ji-ko-26,1,"key milestones associated with children's independence from their parents in uk's society:

* leaving school at 16/18 years old
* starting higher education or training
* moving out of parental home
* getting a full-time job
* getting married or entering a civil partnership
* having children",driving test at 17; passing driving test; driving; going to university; leaving school for university; leaving home; school; job; becoming an adult
llama-3-8b-instruct,UK,1,Ji-ko-28,0,the first day people celebrate after a child is born in the uk is the 28th day.,first birthday; birthday; christening; Baptism
llama-3-8b-instruct,UK,1,Ji-ko-29,1,18th,1; 18; 21
llama-3-8b-instruct,UK,1,Ji-ko-33,0,homework,canteen; back to school; home; form time
llama-3-8b-instruct,UK,1,Ji-ko-34,1,"by bus, train, or on foot.",walk; car; bus
llama-3-8b-instruct,UK,1,Ji-ko-35,1,independent schools,"boarding school; private school, public school, independent school; boarding schools"
llama-3-8b-instruct,UK,1,Ji-ko-36,0,grammar school,"english; maths; math, mathematics; science"
llama-3-8b-instruct,UK,1,Ji-ko-37,1,"casual wear, such as jeans, t-shirts, hoodies, and trainers.",uniform; blazer; tie; jacket; trousers; skirt; shirt; black trousers
llama-3-8b-instruct,UK,1,Ji-ko-40,1,"socialize, play games, chat with friends, or grab a snack.","eat lunch; work part-time; go outside; talk with friends from different classes.; talk, chat, socialise"
llama-3-8b-instruct,UK,1,Ji-ko-42,1,a-levels (typically in 3-4 subjects),english; maths; mathematics; math; critical thinking; science
llama-3-8b-instruct,UK,1,Ji-ko-45,1,music and live performances,alcohol; drinking; pub crawl; music; find a hook up; sexual encounter; drugs; beer
llama-3-8b-instruct,UK,1,Jo-sp-13,0,surfing,swimming; rowing; sailing
llama-3-8b-instruct,UK,1,Jo-sp-19,0,east anglia,yorkshire; oxfordshire; wales; west country; sussex; gloucestershire; scotland; south west
llama-3-8b-instruct,UK,1,Jod-ch-01,1,"fork, knife, spoon",knife; fork; fork ; spoon
llama-3-8b-instruct,UK,1,Jod-ch-07,0,2.4,2; 1.5; 1; 2.5
llama-3-8b-instruct,UK,1,Jod-ch-60,0,7.5,8; 12; 7
llama-3-8b-instruct,UK,1,Ki-pe-34,1,tea,coffee; tea; juice; fruit juice
llama-3-8b-instruct,UK,1,Kik-in-16,1,hot chocolate,tea; hot chocolate; coffee; bovril
llama-3-8b-instruct,UK,1,Kik-in-37,1,manchester united vs liverpool,celtic vs rangers; liverpool vs everton; tottenham vs arsenal; spurs vs arsenal; newcastle vs sunderland; man utd vs man city; liverpool vs manchester united
llama-3-8b-instruct,UK,1,Na-ko-20,1,cricket,soccer; football; cricket; swimming; World Club; FIFA Club World Club; FIFA; world cup football
llama-3-8b-instruct,UK,1,Na-ko-29,0,adam peaty,duncan goodhew; sharron davies; Tom Daley
llama-3-8b-instruct,UK,1,Na-ko-39,1,gift,gift from the wedding list; gifts; wedding gift; a hand shake; handshake; throwing confetti; a round of applause; kiss on the cheek; big hug; money; cards; homeware
llama-3-8b-instruct,UK,1,Ne-ar-09,0,curry and cakes.,rice
llama-3-8b-instruct,UK,1,Ne-ar-26,1,hsbc,bbc; hsbc
llama-3-8b-instruct,UK,1,Ne-ar-36,1,roast turkey with all the trimmings.,turkey and the trimmings; christmas dinner; roast meat; roast beef; turkey; roast chicken; roast lamb; burn supper
llama-3-8b-instruct,UK,1,Ne-ar-38,0,tea,"tinned food; tins; tinned foods, canned foods, tinned food, cans, tins, tinned goods, canned goods; canned goods; canned food"
llama-3-8b-instruct,UK,1,New-as-20,1,darts,swimming; netball; badminton; crossfit; gymnastics; tennis
llama-3-8b-instruct,UK,1,New-ch-07,0,"whisky with drambuie, whisky with ginger beer, vodka with tonic, gin with tonic, rum with cola, bourbon with cola.",chips; chinese; kebab; crisps; cheese; pork scratchings; curry; nuts
llama-3-8b-instruct,UK,1,New-ch-16,0,green street hooligans,bend it like beckham; ferrari; chariots of fire; The Brothers Grimsby
llama-3-8b-instruct,UK,1,New-ch-32,1,microsoft office,microsoft office; google workspace ; word; excel; outlook; oracle
