model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,17.543859649122805,1
llama-3-8b-instruct,UK,English,SEM-W,15.41301169590643,1
llama-3-8b-instruct,US,English,SEM-B,17.35357917570499,1
llama-3-8b-instruct,US,English,SEM-W,15.274765003615329,1
llama-3-8b-instruct,South_Korea,English,SEM-B,12.842105263157894,1
llama-3-8b-instruct,South_Korea,English,SEM-W,11.23859649122807,1
llama-3-8b-instruct,Algeria,English,SEM-B,12.128146453089244,1
llama-3-8b-instruct,Algeria,English,SEM-W,10.51487414187643,1
llama-3-8b-instruct,China,English,SEM-B,12.869198312236287,1
llama-3-8b-instruct,China,English,SEM-W,10.763009845288323,1
llama-3-8b-instruct,Indonesia,English,SEM-B,12.708333333333332,1
llama-3-8b-instruct,Indonesia,English,SEM-W,10.881944444444445,1
llama-3-8b-instruct,Spain,English,SEM-B,13.219616204690832,1
llama-3-8b-instruct,Spain,English,SEM-W,11.79815209665956,1
llama-3-8b-instruct,Iran,English,SEM-B,12.06140350877193,1
llama-3-8b-instruct,Iran,English,SEM-W,10.453216374269008,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.526096033402922,1
llama-3-8b-instruct,Mexico,English,SEM-W,10.709812108559502,1
llama-3-8b-instruct,Assam,English,SEM-B,10.482180293501049,1
llama-3-8b-instruct,Assam,English,SEM-W,9.23130677847659,1
llama-3-8b-instruct,Greece,English,SEM-B,12.391304347826088,1
llama-3-8b-instruct,Greece,English,SEM-W,10.586956521739127,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,10.805084745762713,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,9.244350282485875,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,7.802197802197802,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.219616204690832,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,11.442786069651742,1
llama-3-8b-instruct,North_Korea,English,SEM-B,9.684684684684685,1
llama-3-8b-instruct,North_Korea,English,SEM-W,7.710210210210211,1
llama-3-8b-instruct,West_Java,English,SEM-B,8.951965065502183,1
llama-3-8b-instruct,West_Java,English,SEM-W,7.296215429403202,1
