model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,17.105263157894736,1
llama-3-8b-instruct,UK,English,SEM-W,14.92324561403509,1
llama-3-8b-instruct,UK,English,SEM-B,16.666666666666664,2
llama-3-8b-instruct,UK,English,SEM-W,14.791666666666666,2
llama-3-8b-instruct,UK,English,SEM-B,17.324561403508774,3
llama-3-8b-instruct,UK,English,SEM-W,15.186403508771928,3
llama-3-8b-instruct,UK,English,SEM-B,16.00877192982456,4
llama-3-8b-instruct,UK,English,SEM-W,14.1483918128655,4
llama-3-8b-instruct,UK,English,SEM-B,16.447368421052634,5
llama-3-8b-instruct,UK,English,SEM-W,14.415204678362572,5
llama-3-8b-instruct,US,English,SEM-B,17.136659436008678,1
llama-3-8b-instruct,US,English,SEM-W,14.31670281995662,1
llama-3-8b-instruct,US,English,SEM-B,16.702819956616054,2
llama-3-8b-instruct,US,English,SEM-W,14.678235719450472,2
llama-3-8b-instruct,US,English,SEM-B,16.48590021691974,3
llama-3-8b-instruct,US,English,SEM-W,14.146782357194503,3
llama-3-8b-instruct,US,English,SEM-B,16.919739696312362,4
llama-3-8b-instruct,US,English,SEM-W,14.696312364425165,4
llama-3-8b-instruct,US,English,SEM-B,17.35357917570499,5
llama-3-8b-instruct,US,English,SEM-W,15.300072306579898,5
llama-3-8b-instruct,South_Korea,English,SEM-B,12.63157894736842,1
llama-3-8b-instruct,South_Korea,English,SEM-W,10.329824561403507,1
llama-3-8b-instruct,South_Korea,English,SEM-B,12.63157894736842,2
llama-3-8b-instruct,South_Korea,English,SEM-W,10.8,2
llama-3-8b-instruct,South_Korea,English,SEM-B,12.210526315789473,3
llama-3-8b-instruct,South_Korea,English,SEM-W,9.51578947368421,3
llama-3-8b-instruct,South_Korea,English,SEM-B,10.947368421052632,4
llama-3-8b-instruct,South_Korea,English,SEM-W,9.1859649122807,4
llama-3-8b-instruct,South_Korea,English,SEM-B,11.578947368421051,5
llama-3-8b-instruct,South_Korea,English,SEM-W,9.396491228070175,5
llama-3-8b-instruct,Algeria,English,SEM-B,11.441647597254006,1
llama-3-8b-instruct,Algeria,English,SEM-W,9.69488939740656,1
llama-3-8b-instruct,Algeria,English,SEM-B,11.899313501144166,2
llama-3-8b-instruct,Algeria,English,SEM-W,9.897025171624714,2
llama-3-8b-instruct,Algeria,English,SEM-B,11.899313501144166,3
llama-3-8b-instruct,Algeria,English,SEM-W,10.507246376811594,3
llama-3-8b-instruct,Algeria,English,SEM-B,12.356979405034323,4
llama-3-8b-instruct,Algeria,English,SEM-W,10.53394355453852,4
llama-3-8b-instruct,Algeria,English,SEM-B,11.670480549199084,5
llama-3-8b-instruct,Algeria,English,SEM-W,9.843630816170863,5
llama-3-8b-instruct,China,English,SEM-B,13.502109704641349,1
llama-3-8b-instruct,China,English,SEM-W,12.09563994374121,1
llama-3-8b-instruct,China,English,SEM-B,13.502109704641349,2
llama-3-8b-instruct,China,English,SEM-W,11.962025316455696,2
llama-3-8b-instruct,China,English,SEM-B,12.869198312236287,3
llama-3-8b-instruct,China,English,SEM-W,11.128691983122362,3
llama-3-8b-instruct,China,English,SEM-B,12.869198312236287,4
llama-3-8b-instruct,China,English,SEM-W,11.501406469760902,4
llama-3-8b-instruct,China,English,SEM-B,12.869198312236287,5
llama-3-8b-instruct,China,English,SEM-W,11.163853727144868,5
llama-3-8b-instruct,Indonesia,English,SEM-B,13.125,1
llama-3-8b-instruct,Indonesia,English,SEM-W,11.767361111111112,1
llama-3-8b-instruct,Indonesia,English,SEM-B,11.458333333333332,2
llama-3-8b-instruct,Indonesia,English,SEM-W,10.239583333333332,2
llama-3-8b-instruct,Indonesia,English,SEM-B,14.166666666666666,3
llama-3-8b-instruct,Indonesia,English,SEM-W,12.29166666666667,3
llama-3-8b-instruct,Indonesia,English,SEM-B,12.291666666666666,4
llama-3-8b-instruct,Indonesia,English,SEM-W,10.71527777777778,4
llama-3-8b-instruct,Indonesia,English,SEM-B,12.291666666666666,5
llama-3-8b-instruct,Indonesia,English,SEM-W,10.9375,5
llama-3-8b-instruct,Spain,English,SEM-B,13.859275053304904,1
llama-3-8b-instruct,Spain,English,SEM-W,11.97228144989339,1
llama-3-8b-instruct,Spain,English,SEM-B,12.79317697228145,2
llama-3-8b-instruct,Spain,English,SEM-W,10.99502487562189,2
llama-3-8b-instruct,Spain,English,SEM-B,11.087420042643924,3
llama-3-8b-instruct,Spain,English,SEM-W,9.754797441364603,3
llama-3-8b-instruct,Spain,English,SEM-B,11.940298507462686,4
llama-3-8b-instruct,Spain,English,SEM-W,10.15636105188344,4
llama-3-8b-instruct,Spain,English,SEM-B,12.57995735607676,5
llama-3-8b-instruct,Spain,English,SEM-W,10.732054015636106,5
llama-3-8b-instruct,Iran,English,SEM-B,11.62280701754386,1
llama-3-8b-instruct,Iran,English,SEM-W,9.63450292397661,1
llama-3-8b-instruct,Iran,English,SEM-B,12.5,2
llama-3-8b-instruct,Iran,English,SEM-W,10.727339181286547,2
llama-3-8b-instruct,Iran,English,SEM-B,12.719298245614036,3
llama-3-8b-instruct,Iran,English,SEM-W,10.891812865497077,3
llama-3-8b-instruct,Iran,English,SEM-B,12.5,4
llama-3-8b-instruct,Iran,English,SEM-W,10.453216374269005,4
llama-3-8b-instruct,Iran,English,SEM-B,12.280701754385964,5
llama-3-8b-instruct,Iran,English,SEM-W,10.310672514619885,5
llama-3-8b-instruct,Mexico,English,SEM-B,13.152400835073069,1
llama-3-8b-instruct,Mexico,English,SEM-W,11.343075852470424,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.31732776617954,2
llama-3-8b-instruct,Mexico,English,SEM-W,10.02783576896312,2
llama-3-8b-instruct,Mexico,English,SEM-B,11.482254697286011,3
llama-3-8b-instruct,Mexico,English,SEM-W,9.89561586638831,3
llama-3-8b-instruct,Mexico,English,SEM-B,12.734864300626306,4
llama-3-8b-instruct,Mexico,English,SEM-W,10.772442588726516,4
llama-3-8b-instruct,Mexico,English,SEM-B,12.526096033402922,5
llama-3-8b-instruct,Mexico,English,SEM-W,10.36882393876131,5
