model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,17.324561403508774,1
llama-3-8b-instruct,UK,English,SEM-W,15.274122807017546,1
llama-3-8b-instruct,US,English,SEM-B,16.702819956616054,1
llama-3-8b-instruct,US,English,SEM-W,15.112075198843092,1
llama-3-8b-instruct,South_Korea,English,SEM-B,13.684210526315791,1
llama-3-8b-instruct,South_Korea,English,SEM-W,11.385964912280702,1
llama-3-8b-instruct,Algeria,English,SEM-B,11.670480549199084,1
llama-3-8b-instruct,Algeria,English,SEM-W,9.771167048054922,1
llama-3-8b-instruct,China,English,SEM-B,12.236286919831224,1
llama-3-8b-instruct,China,English,SEM-W,10.58368495077356,1
llama-3-8b-instruct,Indonesia,English,SEM-B,12.708333333333332,1
llama-3-8b-instruct,Indonesia,English,SEM-W,11.54513888888889,1
llama-3-8b-instruct,Spain,English,SEM-B,13.646055437100213,1
llama-3-8b-instruct,Spain,English,SEM-W,12.508884150675197,1
llama-3-8b-instruct,Iran,English,SEM-B,12.938596491228072,1
llama-3-8b-instruct,Iran,English,SEM-W,11.118421052631575,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.31732776617954,1
llama-3-8b-instruct,Mexico,English,SEM-W,10.779401530967297,1
llama-3-8b-instruct,Assam,English,SEM-B,10.69182389937107,1
llama-3-8b-instruct,Assam,English,SEM-W,8.563941299790354,1
llama-3-8b-instruct,Greece,English,SEM-B,13.260869565217392,1
llama-3-8b-instruct,Greece,English,SEM-W,10.934782608695654,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,10.38135593220339,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,8.735875706214689,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.670329670329672,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.717948717948717,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.219616204690832,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,11.353944562899787,1
llama-3-8b-instruct,North_Korea,English,SEM-B,9.90990990990991,1
llama-3-8b-instruct,North_Korea,English,SEM-W,7.804054054054052,1
llama-3-8b-instruct,West_Java,English,SEM-B,8.296943231441048,1
llama-3-8b-instruct,West_Java,English,SEM-W,7.005094614264919,1
