model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,17.324561403508774,1
llama-3-8b-instruct,UK,English,SEM-W,15.164473684210527,1
llama-3-8b-instruct,US,English,SEM-B,18.004338394793926,1
llama-3-8b-instruct,US,English,SEM-W,15.925524222704263,1
llama-3-8b-instruct,South_Korea,English,SEM-B,12.63157894736842,1
llama-3-8b-instruct,South_Korea,English,SEM-W,11.059649122807016,1
llama-3-8b-instruct,Algeria,English,SEM-B,12.356979405034323,1
llama-3-8b-instruct,Algeria,English,SEM-W,10.034324942791764,1
llama-3-8b-instruct,China,English,SEM-B,13.080168776371307,1
llama-3-8b-instruct,China,English,SEM-W,10.79465541490858,1
llama-3-8b-instruct,Indonesia,English,SEM-B,12.708333333333332,1
llama-3-8b-instruct,Indonesia,English,SEM-W,11.055555555555555,1
llama-3-8b-instruct,Spain,English,SEM-B,13.00639658848614,1
llama-3-8b-instruct,Spain,English,SEM-W,11.87633262260128,1
llama-3-8b-instruct,Iran,English,SEM-B,11.842105263157894,1
llama-3-8b-instruct,Iran,English,SEM-W,9.802631578947368,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.10855949895616,1
llama-3-8b-instruct,Mexico,English,SEM-W,10.434933890048711,1
llama-3-8b-instruct,Assam,English,SEM-B,11.11111111111111,1
llama-3-8b-instruct,Assam,English,SEM-W,9.245283018867925,1
llama-3-8b-instruct,Greece,English,SEM-B,12.82608695652174,1
llama-3-8b-instruct,Greece,English,SEM-W,10.398550724637682,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,11.016949152542372,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,9.473870056497177,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.205128205128204,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,11.087420042643924,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,9.559346126510306,1
llama-3-8b-instruct,North_Korea,English,SEM-B,9.90990990990991,1
llama-3-8b-instruct,North_Korea,English,SEM-W,7.560060060060058,1
llama-3-8b-instruct,West_Java,English,SEM-B,9.388646288209609,1
llama-3-8b-instruct,West_Java,English,SEM-W,8.100436681222707,1
