model,country,language,eval_method,score,iteration
llama-3-8b-instruct,UK,English,SEM-B,16.666666666666664,1
llama-3-8b-instruct,UK,English,SEM-W,14.9780701754386,1
llama-3-8b-instruct,US,English,SEM-B,16.919739696312362,1
llama-3-8b-instruct,US,English,SEM-W,15.036153289949382,1
llama-3-8b-instruct,South_Korea,English,SEM-B,11.789473684210526,1
llama-3-8b-instruct,South_Korea,English,SEM-W,9.564912280701757,1
llama-3-8b-instruct,Algeria,English,SEM-B,12.585812356979408,1
llama-3-8b-instruct,Algeria,English,SEM-W,11.27765064836003,1
llama-3-8b-instruct,China,English,SEM-B,12.869198312236287,1
llama-3-8b-instruct,China,English,SEM-W,11.163853727144868,1
llama-3-8b-instruct,Indonesia,English,SEM-B,13.541666666666666,1
llama-3-8b-instruct,Indonesia,English,SEM-W,11.670138888888888,1
llama-3-8b-instruct,Spain,English,SEM-B,13.219616204690832,1
llama-3-8b-instruct,Spain,English,SEM-W,11.815920398009949,1
llama-3-8b-instruct,Iran,English,SEM-B,12.719298245614036,1
llama-3-8b-instruct,Iran,English,SEM-W,10.760233918128655,1
llama-3-8b-instruct,Mexico,English,SEM-B,12.734864300626306,1
llama-3-8b-instruct,Mexico,English,SEM-W,10.751565762004176,1
llama-3-8b-instruct,Assam,English,SEM-B,10.69182389937107,1
llama-3-8b-instruct,Assam,English,SEM-W,8.647798742138363,1
llama-3-8b-instruct,Greece,English,SEM-B,13.043478260869565,1
llama-3-8b-instruct,Greece,English,SEM-W,10.684782608695652,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,9.745762711864408,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,8.132062146892654,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.230769230769232,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.241758241758241,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.432835820895525,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,11.890547263681594,1
llama-3-8b-instruct,North_Korea,English,SEM-B,9.90990990990991,1
llama-3-8b-instruct,North_Korea,English,SEM-W,7.710210210210211,1
llama-3-8b-instruct,West_Java,English,SEM-B,10.04366812227074,1
llama-3-8b-instruct,West_Java,English,SEM-W,8.36244541484716,1
