model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,15.13157894736842,1
qwen3-32b,UK,English,SEM-W,13.527046783625732,1
qwen3-32b,US,English,SEM-B,14.099783080260304,1
qwen3-32b,US,English,SEM-W,12.812725958062185,1
qwen3-32b,South_Korea,English,SEM-B,11.578947368421051,1
qwen3-32b,South_Korea,English,SEM-W,9.957894736842103,1
qwen3-32b,Algeria,English,SEM-B,10.983981693363845,1
qwen3-32b,Algeria,English,SEM-W,9.771167048054922,1
qwen3-32b,China,English,SEM-B,12.658227848101266,1
qwen3-32b,China,English,SEM-W,10.81223628691983,1
qwen3-32b,Indonesia,English,SEM-B,9.791666666666666,1
qwen3-32b,Indonesia,English,SEM-W,9.05902777777778,1
qwen3-32b,Spain,English,SEM-B,11.087420042643924,1
qwen3-32b,Spain,English,SEM-W,9.548685145700071,1
qwen3-32b,Iran,English,SEM-B,11.62280701754386,1
qwen3-32b,Iran,English,SEM-W,10.310672514619885,1
qwen3-32b,Mexico,English,SEM-B,11.064718162839249,1
qwen3-32b,Mexico,English,SEM-W,9.547668754349338,1
qwen3-32b,Assam,English,SEM-B,8.176100628930817,1
qwen3-32b,Assam,English,SEM-W,6.313766596785466,1
qwen3-32b,Greece,English,SEM-B,12.608695652173912,1
qwen3-32b,Greece,English,SEM-W,11.101449275362318,1
qwen3-32b,Ethiopia,English,SEM-B,7.203389830508475,1
qwen3-32b,Ethiopia,English,SEM-W,6.038135593220339,1
qwen3-32b,Northern_Nigeria,English,SEM-B,7.472527472527473,1
qwen3-32b,Northern_Nigeria,English,SEM-W,6.4835164835164845,1
qwen3-32b,Azerbaijan,English,SEM-B,11.727078891257996,1
qwen3-32b,Azerbaijan,English,SEM-W,10.110163468372422,1
qwen3-32b,North_Korea,English,SEM-B,9.00900900900901,1
qwen3-32b,North_Korea,English,SEM-W,7.653903903903904,1
qwen3-32b,West_Java,English,SEM-B,8.951965065502183,1
qwen3-32b,West_Java,English,SEM-W,7.656477438136826,1
