model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,14.473684210526317,1
qwen3-32b,UK,English,SEM-W,12.887426900584796,1
qwen3-32b,US,English,SEM-B,14.099783080260304,1
qwen3-32b,US,English,SEM-W,12.639190166305134,1
qwen3-32b,South_Korea,English,SEM-B,12.0,1
qwen3-32b,South_Korea,English,SEM-W,9.964912280701752,1
qwen3-32b,Algeria,English,SEM-B,10.526315789473683,1
qwen3-32b,Algeria,English,SEM-W,8.932112890922959,1
qwen3-32b,China,English,SEM-B,12.447257383966246,1
qwen3-32b,China,English,SEM-W,11.0056258790436,1
qwen3-32b,Indonesia,English,SEM-B,10.0,1
qwen3-32b,Indonesia,English,SEM-W,8.815972222222221,1
qwen3-32b,Spain,English,SEM-B,11.300639658848617,1
qwen3-32b,Spain,English,SEM-W,10.206112295664536,1
qwen3-32b,Iran,English,SEM-B,11.18421052631579,1
qwen3-32b,Iran,English,SEM-W,10.237573099415204,1
qwen3-32b,Mexico,English,SEM-B,10.438413361169102,1
qwen3-32b,Mexico,English,SEM-W,9.217118997912316,1
qwen3-32b,Assam,English,SEM-B,8.59538784067086,1
qwen3-32b,Assam,English,SEM-W,6.872816212438853,1
qwen3-32b,Greece,English,SEM-B,12.82608695652174,1
qwen3-32b,Greece,English,SEM-W,11.018115942028984,1
qwen3-32b,Ethiopia,English,SEM-B,6.991525423728813,1
qwen3-32b,Ethiopia,English,SEM-W,5.995762711864407,1
qwen3-32b,Northern_Nigeria,English,SEM-B,7.472527472527473,1
qwen3-32b,Northern_Nigeria,English,SEM-W,6.3003663003663,1
qwen3-32b,Azerbaijan,English,SEM-B,11.727078891257996,1
qwen3-32b,Azerbaijan,English,SEM-W,10.021321961620467,1
qwen3-32b,North_Korea,English,SEM-B,9.684684684684685,1
qwen3-32b,North_Korea,English,SEM-W,7.86036036036036,1
qwen3-32b,West_Java,English,SEM-B,8.296943231441048,1
qwen3-32b,West_Java,English,SEM-W,7.219796215429403,1
