model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,14.473684210526317,1
qwen3-32b,UK,English,SEM-W,13.033625730994151,1
qwen3-32b,US,English,SEM-B,14.533622559652928,1
qwen3-32b,US,English,SEM-W,13.14533622559653,1
qwen3-32b,South_Korea,English,SEM-B,11.36842105263158,1
qwen3-32b,South_Korea,English,SEM-W,9.536842105263158,1
qwen3-32b,Algeria,English,SEM-B,10.526315789473683,1
qwen3-32b,Algeria,English,SEM-W,9.19908466819222,1
qwen3-32b,China,English,SEM-B,13.080168776371307,1
qwen3-32b,China,English,SEM-W,11.21659634317862,1
qwen3-32b,Indonesia,English,SEM-B,10.0,1
qwen3-32b,Indonesia,English,SEM-W,8.815972222222221,1
qwen3-32b,Spain,English,SEM-B,10.874200426439232,1
qwen3-32b,Spain,English,SEM-W,9.619758351101634,1
qwen3-32b,Iran,English,SEM-B,11.62280701754386,1
qwen3-32b,Iran,English,SEM-W,9.926900584795323,1
qwen3-32b,Mexico,English,SEM-B,10.020876826722338,1
qwen3-32b,Mexico,English,SEM-W,8.434237995824633,1
qwen3-32b,Assam,English,SEM-B,8.176100628930817,1
qwen3-32b,Assam,English,SEM-W,6.740041928721174,1
qwen3-32b,Greece,English,SEM-B,12.82608695652174,1
qwen3-32b,Greece,English,SEM-W,11.282608695652172,1
qwen3-32b,Ethiopia,English,SEM-B,7.203389830508475,1
qwen3-32b,Ethiopia,English,SEM-W,6.197033898305085,1
qwen3-32b,Northern_Nigeria,English,SEM-B,8.35164835164835,1
qwen3-32b,Northern_Nigeria,English,SEM-W,7.435897435897434,1
qwen3-32b,Azerbaijan,English,SEM-B,11.727078891257996,1
qwen3-32b,Azerbaijan,English,SEM-W,9.808102345415778,1
qwen3-32b,North_Korea,English,SEM-B,9.00900900900901,1
qwen3-32b,North_Korea,English,SEM-W,7.466216216216217,1
qwen3-32b,West_Java,English,SEM-B,8.296943231441048,1
qwen3-32b,West_Java,English,SEM-W,6.983260553129549,1
