model,country,language,eval_method,score,iteration
qwen3-32b,UK,English,SEM-B,14.25438596491228,1
qwen3-32b,UK,English,SEM-W,12.7046783625731,1
qwen3-32b,US,English,SEM-B,14.316702819956618,1
qwen3-32b,US,English,SEM-W,13.181489515545913,1
qwen3-32b,South_Korea,English,SEM-B,11.789473684210526,1
qwen3-32b,South_Korea,English,SEM-W,9.666666666666666,1
qwen3-32b,Algeria,English,SEM-B,10.297482837528603,1
qwen3-32b,Algeria,English,SEM-W,8.970251716247141,1
qwen3-32b,China,English,SEM-B,13.080168776371307,1
qwen3-32b,China,English,SEM-W,11.427566807313642,1
qwen3-32b,Indonesia,English,SEM-B,9.166666666666666,1
qwen3-32b,Indonesia,English,SEM-W,8.260416666666664,1
qwen3-32b,Spain,English,SEM-B,11.513859275053305,1
qwen3-32b,Spain,English,SEM-W,10.259417199715708,1
qwen3-32b,Iran,English,SEM-B,10.74561403508772,1
qwen3-32b,Iran,English,SEM-W,9.65277777777778,1
qwen3-32b,Mexico,English,SEM-B,10.22964509394572,1
qwen3-32b,Mexico,English,SEM-W,8.921363952679192,1
qwen3-32b,Assam,English,SEM-B,7.756813417190776,1
qwen3-32b,Assam,English,SEM-W,6.390635918937806,1
qwen3-32b,Greece,English,SEM-B,12.82608695652174,1
qwen3-32b,Greece,English,SEM-W,11.228260869565217,1
qwen3-32b,Ethiopia,English,SEM-B,6.991525423728813,1
qwen3-32b,Ethiopia,English,SEM-W,5.561440677966101,1
qwen3-32b,Northern_Nigeria,English,SEM-B,7.252747252747254,1
qwen3-32b,Northern_Nigeria,English,SEM-W,6.3369963369963385,1
qwen3-32b,Azerbaijan,English,SEM-B,12.79317697228145,1
qwen3-32b,Azerbaijan,English,SEM-W,10.820895522388058,1
qwen3-32b,North_Korea,English,SEM-B,9.684684684684685,1
qwen3-32b,North_Korea,English,SEM-W,7.972972972972972,1
qwen3-32b,West_Java,English,SEM-B,9.60698689956332,1
qwen3-32b,West_Java,English,SEM-W,8.311499272197961,1
